position	CpG_p	CpG_m	CHG_p	CHG_m	CHH_p	CHH_m	Methylation	Base	Total
1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.14	0.15
2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.70	0.70
3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.97	0.97
4	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.63	1.63
5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.56	1.56
6	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.61	0.61
7	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.63	1.63
8	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.63	1.63
9	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.03	1.03
10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.73	0.73
11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.36	0.36
