position	CpG_p	CpG_m	CHG_p	CHG_m	CHH_p	CHH_m	Methylation	Base	Total
1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.01
2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.11	0.11
3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.42	0.42
4	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.50	0.50
5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.71	1.71
6	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.04	2.04
7	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.91	0.91
8	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.23	1.23
9	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.14	2.14
10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.71	1.71
11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.67	0.67
12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.53	0.54
13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.13	0.13
14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.01
