position	CpG_p	CpG_m	CHG_p	CHG_m	CHH_p	CHH_m	Methylation	Base	Total
1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.21	0.21
2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.87	0.87
3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.77	1.77
4	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.77	1.77
5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.68	1.68
6	0.04	0.00	0.00	0.00	0.01	0.00	0.04	2.28	2.32
7	0.00	0.04	0.00	0.00	0.00	0.00	0.04	0.53	0.57
8	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.68	0.68
9	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.01	1.01
10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.77	1.77
11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.90	0.90
