position	CpG_p	CpG_m	CHG_p	CHG_m	CHH_p	CHH_m	Methylation	Base	Total
1	0.01	0.01	0.00	0.00	0.00	0.00	0.01	0.02	0.03
2	0.00	0.01	0.00	0.00	0.00	0.00	0.01	0.02	0.03
3	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.21	0.22
4	0.01	0.01	0.00	0.00	0.00	0.00	0.02	0.47	0.49
5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.62	0.62
6	0.06	0.00	0.00	0.00	0.00	0.00	0.06	0.43	0.49
7	0.01	0.05	0.00	0.00	0.00	0.00	0.06	0.47	0.52
8	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.71	0.71
9	0.01	0.01	0.00	0.00	0.00	0.00	0.01	0.50	0.51
10	0.01	0.00	0.00	0.00	0.00	0.00	0.01	0.08	0.09
11	0.01	0.01	0.00	0.00	0.00	0.00	0.01	0.01	0.03
12	0.01	0.01	0.00	0.00	0.00	0.00	0.01	0.01	0.03
