position	CpG_p	CpG_m	CHG_p	CHG_m	CHH_p	CHH_m	Methylation	Base	Total
1	0.00	0.00	0.00	0.00	0.01	0.00	0.01	0.03	0.04
2	0.00	0.00	0.00	0.00	0.01	0.00	0.02	0.12	0.14
3	0.01	0.00	0.00	0.00	0.00	0.00	0.01	0.56	0.57
4	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.54	0.54
5	0.00	0.01	0.00	0.00	0.00	0.00	0.02	1.73	1.74
6	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.06	2.06
7	0.00	0.00	0.00	0.00	0.00	0.27	0.27	0.61	0.88
8	0.00	0.00	0.00	0.00	0.23	0.00	0.23	0.92	1.15
9	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.12	2.12
10	0.01	0.00	0.00	0.00	0.00	0.00	0.01	1.75	1.76
11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.88	0.88
12	0.00	0.01	0.00	0.00	0.00	0.00	0.01	0.68	0.69
13	0.00	0.00	0.00	0.00	0.00	0.01	0.02	0.14	0.16
14	0.00	0.00	0.00	0.00	0.00	0.01	0.01	0.03	0.04
