position	CpG_p	CpG_m	CHG_p	CHG_m	CHH_p	CHH_m	Methylation	Base	Total
1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.02
2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.12	0.12
3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.35	0.35
4	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.06	2.06
5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.69	1.69
6	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.06	2.06
7	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.62	0.62
8	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.92	1.92
9	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.67	1.67
10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.01	2.01
11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.36	0.36
12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.11	0.11
13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.03
