position	CpG_p	CpG_m	CHG_p	CHG_m	CHH_p	CHH_m	Methylation	Base	Total
1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.06
2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.40	0.40
3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.02
4	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.45	0.45
5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.14	0.15
6	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.20	0.20
7	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.22	0.23
8	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.20	0.20
9	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.09	0.10
10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.03
11	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.01	0.01
12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.08
13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.18	0.18
