position	CpG_p	CpG_m	CHG_p	CHG_m	CHH_p	CHH_m	Methylation	Base	Total
1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.02
2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.13	0.13
3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.63	0.64
4	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.46	0.46
5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.93	1.93
6	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.84	1.84
7	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.64	0.65
8	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.03	1.04
9	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.91	1.91
10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.93	1.93
11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.76	0.76
12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.78	0.78
13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.15	0.15
14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.02
