position	CpG_p	CpG_m	CHG_p	CHG_m	CHH_p	CHH_m	Methylation	Base	Total
1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.01
2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.02
3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.53	0.53
4	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.45	1.45
5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.98	1.98
6	0.01	0.00	0.00	0.00	0.00	0.00	0.01	1.28	1.29
7	0.00	0.01	0.00	0.00	0.00	0.00	0.01	1.34	1.35
8	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.07	2.07
9	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.44	1.44
10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.18	0.18
11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.04
12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.03
